अमअं पाउअकव्वं पढिउं सोउं च जे ण आणंति । कामस्स तत्ततत्तिं कुणंति ते कह ण लज्जंति ॥,Prakrit poetry is nectar. Those who don’t know how to recite it or listen to it make love into a science. How are they not ashamed?
जो सक्कयं न याणइ सुविसुद्धं पाइयं पि वोत्तुं जे । मोणं तु तस्स सरणं नीसरणं अहव परिसाए ॥,Celui qui ne connaît pas le sanskrit ou ne sait pas parler un prakrit parfaitement pur n’a d’autre refuge que le silence; sinon c’est la catastrophe pour son auditoire.
देसियसद्दपलोट्टं महुरक्खरछंदसंठियं ललियं । फुडवियडपायडत्थं पाइयकव्वं पढेयव्वं ॥,"Prakrit poetry that has regional words thrown in, that is formed from sweet syllables and meters, that is graceful, with a meaning that is clear, extensive, and perfectly evident, ought to be recited."
ललिए महुरक्खरए जुवईजणवल्लहे ससिंगारे । संते पाइयकव्वे को सक्कइ सक्कयं पढिउं ॥,Prakrit poetry is graceful and has sweet syllables; it is adored by young women and is erotic. So who is going to recite Sanskrit?
सललिअपयसंचारा पयडियमयणा सुवण्णरयणेल्ला । मरहट्ठयभासा कामिणी य अडवी य रेहंति ॥,"Teeming with charming words, manifesting the theme of love, and bejeweled with lovely sounds, the language of Mahārāṣṭra is like a woman— walking attractively, revealing her intentions, and decked with gold and jewels, and like a forest— laced with lovely paths, where you can see mynah birds, and clothed in beautiful leaves."
"आयण्णिऊण य चिंतियं णेण । । अरे, कयरीए उण भासाए एयं उल्लवियइ केणावि किं पि । । हूं, अरे सक्कयं ताव ण होइ । । जेण तं अणेय-पय-समास-णिवाओवसग्ग-विभत्ति-लिंग-परियप्पणा-कुवियप्प-सय-दुग्गमं दुज्जण-हिययं पिव विसमं । । इमं पुण ण एरिसं । । ता किं पाययं होज्ज । । हुं, तं पि णो, जेण तं सयल-कला-कलाव-माला-जल-कल्लोल-संकुल-लोय-वुत्तंत-महोयहि-महापुरिस-महणुग्गयामय-णीसंद-बिंदु-संदोहं संघडिय-एक्केक्कम-वण्ण-पय-णाणारूव-विरयणा-सहं सज्जण-वयणं पिव सुह-संगयं. एयं पुण ण सुट्ठु । । ता किं पुण अवहंसं होहिइ । । हूं, तं पि णो, जेण सक्कय-पायओभय-सुद्धासुद्ध-पय-सम-विसम-तरंग-रंगंत-वग्गिरं णव-पाउस-जलय-पवाह-पूर-पव्वालिय-गिरि-णै-सरिसं सम-विसमं पणय-कुविय-पिय-पणइणी-समुल्लाव-सरिसं मणोहरं । । एयं पुण ण सुट्ठु .. ।","He listened and thought: “Wait a minute. What is this language that I hear being spoken? Hmm. Well, it can’t be Sanskrit, because that is harsh like the heart of a wicked person, difficult to understand with its hundreds of horrible options for forming all of the different words, compounds, indeclinables, prefixes, case endings, and genders. And this isn’t like that. So could it be Prakrit? Hmm, that’s not it, either, because that is pleasant like the words of good people, made up of the nectar that streams forth when great men churn the ocean of life that constantly surges with the waves of all learning, with compositions of various types that perfectly join their sounds and words together. And this certainly isn’t like that. So might it be Apabhramsha, then? Hmm, it’s not that either, because that is a mountain stream that gushes with floodwaters from the downpours of the first springtime clouds, rolling and swelling with the steady and unsteady waves that are the words of Sanskrit and Prakrit both pure and combined, alluringly harsh and gentle like the words of a lover in playful anger. And this isn’t like that at all..."
ता किं ति सक्कदं परिहरिअ पाउअबन्धे पउत्तो कई । परुसा सक्कअबन्धा पाउअबन्धो वि होइ सुउमारो । । पुरिसमहिलाण जेत्तिअमिहन्तरं तेत्तिअमिमाणं ॥ ॥ सव्वभासाचदुरेण तेण भणिदं जेव । अत्थविसेसा ते चिअ सद्दा ते चेअ परिणमन्ता वि । । उत्तिविसेसो कव्वं भासा जा होइ सा होउ ॥ ॥,"stage-manager reflecting Then why has the poet abandoned the Sanskrit language and undertaken a composition in Prakrit? assistant Sanskrit poems are harsh; but a Prākrit poem is very smooth; the difference between them in this respect is as great as that between man and woman. And he who is expert in all languages has said: The various themes remain the same; the words remain the same, although undergoing [certain phonetic] modifications: a poem is a peculiar way of expression, be the language whichsoever it may."
द्विधा प्रयुक्तेन च वाङ्मयेन सरस्वती तन्मिथुनं नुनाव । संस्कारपूतेन वरं वरेण्यं वधूं सुखग्राह्यनिबन्धनेन ॥,"Sarasvatī praised the couple with a speech that she delivered in two ways: one purified by saṁskāra to the excellent groom, and one that could easily be understood to the bride."
"यदाह वामनः — “सन्दर्भेषु दशरूपकं श्रेयः, तद्विचित्रं चित्रपटवद्विशेषसाकल्यात्” इति । । तद्रूपसमर्पणया तु प्रबन्धे भाषावेषप्रवृत्त्यौचित्यादिकल्पनात् । । तदुपजीवनेन मुक्तके, तथा च तत्र सहृदयाः पूर्वापरमुचितं परिकल्प्य ईदृगत्र वक्तास्मिन्नवसरे इत्यादि बहुतरं पीठबन्धरूपं विदधते, तेन ये काव्याभ्यासप्राक्तनपुण्यादिहेतुबलादिभिः सहृदयास्तेषां परिमितविभावाद्युन्मीलनेऽपि परिस्फुट एव साक्षात्कारकल्पः काव्यार्थः स्फुरति । ।","As Vāmana states, “Among all the varieties of literary composition, the best is drama in any of its ten forms. For the drama, like a painted canvas, is multifaceted, by virtue of the full complement of its particular components.” In the case of an extended narrative, one or another such dramatic form is being transferred, thanks to the reader’s capacity for imagining the proper speech, costume, regional customs, and the like. In the case of an isolate verse, it comes to be understood only be being ultimately enlivened by such narrative—that is to say, by receptive readers’ ability to imagine what is appropriate in view of the sequence of events, and to establish a contextual foundation by conjecturing for the verse the appropriate speaker on the given occasion."
उअ णिच्चलणिप्फंदा भिसिणीवत्तम्मि रेहइ वलाआ । । णिम्मलमरगअभाअणपरिट्ठिआ संखसुत्ति व्व ॥ ॥,Look at that heron Standing absolutely motionless On the lotus leaf. It is just like mother of pearl In a setting of spotless emerald.
